rank	token_id	decoded	greek_count	share_of_greek_mass_pct	has_greek_mono	has_greek_poly	has_latin
172	9610	συ	1277570	0.1273752473400792	true	false	false
173	10325	ίν	1277214	0.12733975371698766	true	false	false
174	25527	Ο	1275781	0.12719688191392536	true	false	false
175	25293	στα	1270594	0.12667973184938644	true	false	false
176	29635	ευ	1269491	0.1265697614385157	true	false	false
177	17581	μά	1263493	0.12597175371013622	true	false	false
178	9982	Μ	1250794	0.12470564831789026	true	false	false
179	9900	ό	1250088	0.12463525927883791	true	false	false
180	22889	τή	1248197	0.12444672433146119	true	false	false
181	16089	ρη	1247479	0.12437513887814733	true	false	false
182	27151	όν	1236280	0.12325858526859049	true	false	false
183	7250	ν	1235512	0.12318201475585366	true	false	false
184	12554	ρί	1222239	0.12185868088143201	true	false	false
185	74103	στε	1214552	0.12109227784574457	true	false	false
186	30027	πτ	1195266	0.11916944072511654	true	false	false
187	18750	γκ	1182598	0.11790642606971281	true	false	false
188	30424	λά	1182093	0.11785607696954083	true	false	false
189	22261	λογ	1177407	0.11738887720042006	true	false	false
190	26183	ιστ	1173967	0.11704590511211971	true	false	false
191	27026	Σ	1158543	0.11550811398132188	true	false	false
192	14253	ον	1155881	0.11524270941764296	true	false	false
193	12420	Ο	1147159	0.11437311565190005	true	false	false
194	12414	θη	1138689	0.1135286465856489	true	false	false
195	22316	ασ	1138475	0.11350731053131859	true	false	false
196	18650	ι	1138355	0.11349534638870346	true	false	false
197	27674	ρέ	1137895	0.11344948384201213	true	false	false
198	33514	απ	1136465	0.11330691114251519	true	false	false
199	27659	παρα	1129633	0.11262575262296055	true	false	false
200	9681	Σ	1126490	0.11231239178763265	true	false	false
