canonical_key	rank	token_id	decoded	count	share_pct	status	bitmask_popcount	bitmask_signature
hun_Latn	1	4013	'õ'	199600	0.019727	text	3	pt,vi,et
hun_Latn	2	6344	'û'	39004	0.003855	text	1	fr
hun_Latn	3	2797	'ô'	15577	0.001540	text	5	fr,pt,vi,nb,sk
hun_Latn	4	46083	' õ'	13690	0.001353	text	3	pt,vi,et
hun_Latn	5	1756	' и'	7139	0.000706	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	6	1668	' в'	6844	0.000676	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	7	88467	' nõ'	5451	0.000539	text	3	pt,vi,et
hun_Latn	8	1780	'ı'	5429	0.000537	text	2	tr,az
hun_Latn	9	2843	' не'	5050	0.000499	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	10	1902	' на'	4508	0.000446	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	11	2381	'š'	4330	0.000428	text	9	cs,sr-Latn,fi,sl,hr,sk,et,lt...+1
hun_Latn	12	2514	'č'	4326	0.000428	text	7	cs,sr-Latn,sl,hr,sk,lt,lv
hun_Latn	13	113549	' Räikkönen'	3916	0.000387	text	5	de,nl,sv,fi,et
hun_Latn	14	4547	'ā'	3696	0.000365	text	1	lv
hun_Latn	15	3723	'ć'	3450	0.000341	text	4	pl,sr-Latn,sl,hr
hun_Latn	16	2458	'ă'	3412	0.000337	text	2	vi,ro
hun_Latn	17	1614	' с'	3319	0.000328	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	18	1654	'ä'	3245	0.000321	text	6	de,nl,sv,fi,sk,et
hun_Latn	19	3103	'ть'	3048	0.000301	text	3	ru,uk,bg
hun_Latn	20	5858	' что'	2950	0.000292	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	21	20512	'ović'	2801	0.000277	text	4	pl,sr-Latn,sl,hr
hun_Latn	22	1432	'л'	2560	0.000253	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	23	13192	' Š'	2364	0.000234	text	9	cs,sr-Latn,fi,sl,hr,sk,et,lt...+1
hun_Latn	24	2463	'ка'	2343	0.000232	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	25	2105	'ла'	2252	0.000223	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	26	2711	' по'	2232	0.000221	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	27	1334	'е'	2195	0.000217	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	28	1755	' à'	2131	0.000211	text	7	fr,it,pt,sv,vi,nb,ca
hun_Latn	29	2332	' у'	2052	0.000203	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	30	2546	'ž'	2039	0.000202	text	9	cs,sr-Latn,fi,sl,hr,sk,et,lt...+1
hun_Latn	31	2982	' С'	1996	0.000197	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	32	2600	'ş'	1961	0.000194	text	2	tr,az
hun_Latn	33	50273	' tõ'	1938	0.000192	text	3	pt,vi,et
hun_Latn	34	2060	'ли'	1927	0.000190	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	35	110884	' bû'	1920	0.000190	text	1	fr
hun_Latn	36	1565	'м'	1913	0.000189	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	37	3460	' от'	1847	0.000183	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	38	2555	' за'	1832	0.000181	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	39	9421	' он'	1739	0.000172	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	40	1835	' к'	1705	0.000169	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	41	1570	'я'	1656	0.000164	text	3	ru,uk,bg
hun_Latn	42	97213	'čić'	1639	0.000162	text	3	sr-Latn,sl,hr
hun_Latn	43	16096	'ō'	1637	0.000162	no_in_scope_chars	0	(none)
hun_Latn	44	3751	' из'	1627	0.000161	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	45	5111	'С'	1624	0.000161	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	46	3062	'ý'	1616	0.000160	text	4	cs,vi,sk,is
hun_Latn	47	1361	'т'	1586	0.000157	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	48	13677	' Č'	1576	0.000156	text	7	cs,sr-Latn,sl,hr,sk,lt,lv
hun_Latn	49	2334	'но'	1521	0.000150	text	5	ru,uk,bg,mk,sr-Cyrl
hun_Latn	50	2624	'ñ'	1520	0.000150	text	1	es
nob_Latn	1	13566	'Г'	167229	0.016701	text	5	ru,uk,bg,mk,sr-Cyrl
nob_Latn	2	3902	'ё'	56252	0.005618	text	1	ru
nob_Latn	3	7974	' för'	44247	0.004419	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	4	4923	' Г'	38334	0.003828	text	5	ru,uk,bg,mk,sr-Cyrl
nob_Latn	5	14868	' är'	33794	0.003375	text	6	de,nl,sv,fi,sk,et
nob_Latn	6	1792	'ö'	24748	0.002472	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	7	2113	'ã'	24383	0.002435	text	2	pt,vi
nob_Latn	8	82803	'Ã'	24084	0.002405	text	2	pt,vi
nob_Latn	9	1654	'ä'	22751	0.002272	text	6	de,nl,sv,fi,sk,et
nob_Latn	10	3238	'ör'	18032	0.001801	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	11	4397	'är'	16720	0.001670	text	6	de,nl,sv,fi,sk,et
nob_Latn	12	5154	'ї'	15650	0.001563	text	1	uk
nob_Latn	13	1789	'п'	12454	0.001244	text	5	ru,uk,bg,mk,sr-Cyrl
nob_Latn	14	4803	'än'	12086	0.001207	text	6	de,nl,sv,fi,sk,et
nob_Latn	15	9267	'ð'	11791	0.001178	text	1	is
nob_Latn	16	29798	' þ'	10521	0.001051	text	1	is
nob_Latn	17	1502	'á'	10274	0.001026	text	8	cs,es,hu,nl,pt,vi,sk,is
nob_Latn	18	5233	' ö'	10104	0.001009	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	19	1754	'è'	9249	0.000924	text	4	fr,it,vi,ca
nob_Latn	20	8963	'äl'	9072	0.000906	text	6	de,nl,sv,fi,sk,et
nob_Latn	21	16171	'kö'	8975	0.000896	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	22	4861	'ön'	8607	0.000860	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	23	18455	' vä'	8224	0.000821	text	6	de,nl,sv,fi,sk,et
nob_Latn	24	16532	'äll'	8135	0.000812	text	6	de,nl,sv,fi,sk,et
nob_Latn	25	3608	' für'	7990	0.000798	text	9	de,es,fr,hu,nl,tr,az,et...+1
nob_Latn	26	25022	'för'	7838	0.000783	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	27	1671	'ü'	7265	0.000726	text	9	de,es,fr,hu,nl,tr,az,et...+1
nob_Latn	28	4847	' è'	7190	0.000718	text	4	fr,it,vi,ca
nob_Latn	29	53663	' gründ'	7071	0.000706	text	9	de,es,fr,hu,nl,tr,az,et...+1
nob_Latn	30	71192	'jö'	7018	0.000701	text	9	de,hu,nl,sv,tr,az,fi,et...+1
nob_Latn	31	5105	'ät'	6987	0.000698	text	6	de,nl,sv,fi,sk,et
