token_id	decoded	status	compat_popcount	signature
1029	'\x1d'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1030	'\x1e'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1031	'\x1f'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1127	'\x7f'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
1953	'。”\n\n'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
2579	'，“'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
2640	'```\n'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
2668	'}\\)'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
2687	'？”\n\n'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
3092	'？」\n\n'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
3143	'\\(\\'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
3646	'？”'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
3786	'\\({'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
3885	'！”\n\n'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
4050	'、「'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
4056	'”。'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
4078	'！」\n\n'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
4084	'……」\n\n'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
4581	'，”'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
5236	'「……'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
5671	'\\({}^{'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
5885	'\\({}_{'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
6052	'/**\n'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
6486	'。「'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
6491	'……”\n\n'	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
6524	'\\['	text	55	en,cs,da,de,es,fr,hu,id,it,nl,pl,pt,sv,tr,vi,ru,el,ar,fa,zh-Hans,zh-Hant,ja,el-polyton,ko,hi,he,th,hy,ka,bn,ta,te,kn,ml,gu,pa,my,ur,ro,uk,bg,mk,sr-Latn,sr-Cyrl,az,fi,nb,sl,hr,sk,et,lt,lv,ca,is
