rank	token_id	decoded	count	share_pct	status	compat_popcount	signature
178	4141	'éc'	3568	0.0004	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
179	11479	'ío'	3545	0.0004	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
180	4392	'中'	3533	0.0004	text	3	zh-Hans,zh-Hant,ja
181	26955	'ța'	3518	0.0003	text	1	ro
182	57914	'Düsseldorf'	3515	0.0003	text	9	de,es,fr,hu,nl,tr,az,et,ca
183	37413	'Ł'	3500	0.0003	text	1	pl
184	83543	'šić'	3498	0.0003	text	3	sr-Latn,sl,hr
185	56150	'Château'	3471	0.0003	text	4	fr,pt,vi,ro
186	106719	'Bahá'	3440	0.0003	text	8	cs,es,hu,nl,pt,vi,sk,is
187	28300	'Ś'	3431	0.0003	text	1	pl
188	7464	'ún'	3428	0.0003	text	9	cs,es,hu,nl,pt,vi,sk,ca,is
189	37962	'ša'	3413	0.0003	text	9	cs,sr-Latn,fi,sl,hr,sk,et,lt,lv
190	23960	'Á'	3402	0.0003	text	8	cs,es,hu,nl,pt,vi,sk,is
191	18463	'España'	3399	0.0003	text	1	es
192	49507	'Andrés'	3388	0.0003	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
193	10085	'év'	3383	0.0003	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
194	8998	'đ'	3383	0.0003	text	4	vi,sr-Latn,sl,hr
195	49291	'Š'	3354	0.0003	text	9	cs,sr-Latn,fi,sl,hr,sk,et,lt,lv
196	130553	'Kö'	3353	0.0003	text	9	de,hu,nl,sv,tr,az,fi,et,is
197	37396	'Bé'	3337	0.0003	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
198	3774	'ù'	3331	0.0003	text	3	fr,it,vi
199	91050	'Paraná'	3302	0.0003	text	8	cs,es,hu,nl,pt,vi,sk,is
200	16841	'Mé'	3293	0.0003	text	13	cs,es,fr,hu,it,nl,pt,sv,vi,nb,sk,ca,is
