id	token	count
148936	 βασιλέως	18848
148937	ντος	6424
148938	ῶσιν	18839
148939	ρὰ	18753
148940	ικῶς	18740
148941	 ὑπό	18699
148942	 ἐκείνου	18672
148943	 φύ	18663
148944	 τό	18632
148945	δέ	18632
148946	μῳ	18611
148947	ρέ	18560
148948	 ἕως	18548
148949	 αἰτ	18526
148950	 ὤ	18506
148951	 τοιού	18500
148952	 ὀφθαλ	18394
148953	 ὅσον	18353
148954	",


"	18323
148955	 ἕτερον	18267
148956	 ἄρχ	18247
148957	 ἓ	2860
148958	λιον	18167
148959	κό	18131
148960	ῃς	18124
148961	ταις	18113
148962	ζειν	18092
148963	οις	18083
148964	 τρόπον	18011
148965	τὰς	18007
148966	 Πνεῦμα	17970
148967	 ὢ	1077
148968	θήσεται	17960
148969	Θεο	17865
148970	 πό	17836
148971	 παντὸς	17812
148972	ῄ	17790
148973	πεὶ	17775
148974	 ἐναντ	17759
148975	γιον	5311
148976	δεὶς	6363
148977	ισι	17702
148978	ῦντες	17660
148979	\x93ς	2081
148980	 οἰκο	17523
148981	 ᾗ	17504
148982	 ἀντι	17499
148983	 παῖ	17449
148984	τιον	17430
148985	θὺς	2724
148986	πῳ	17361
148987	\xaeχος	2225
148988	δωρ	2052
148989	 γν	17331
148990	 ἔχο	7468
148991	ψας	17272
148992	πά	17271
148993	γὼ	17261
148994	σθω	17215
148995	 λόγῳ	17157
148996	 τέ	17147
148997	σεσθαι	17095
148998	ρίαν	17088
148999	περὶ	17052
149000	θις	2288
149001	ῦντος	17033
149002	 τινος	17026
149003	 φησὶν	17021
149004	τέον	17012
149005	 μέντοι	17012
149006	 τοιαῦτα	16985
149007	 ἐπιβ	16983
149008	 φησίν	16905
149009	θειαν	16888
149010	ὄ	16886
149011	ὕτω	16886
149012	 ὢν	16885
149013	 πάντας	16870
149014	 ὀρθ	16828
149015	λῳ	16761
149016	 Κύ	16750
149017	 ἑτέρ	16744
149018	 ἦσαν	16741
149019	τοῦτο	16733
149020	όμενον	16708
149021	 ἐνεργ	16672
149022	 αὕτη	16652
149023	 τοιαύ	16622
149024	 πολλῶν	16608
149025	 ποιεῖν	16595
149026	ῆθος	2064
149027	 δύναμιν	16532
149028	 αὐτοὶ	16486
149029	δὸν	16457
149030	σρα	2535
149031	 ἐγκ	16384
149032	 ἀρχὴν	16379
149033	 ἁπλ	5272
149034	νεσθαι	16360
149035	 ἐκκλη	16360
149036	σαντα	16349
149037	ῦσα	16349
149038	 ἀκ	16346
149039	 τινὰ	16343
149040	 γί	16324
149041	 Πατρὸς	16281
149042	 ἄνθρωπον	16273
149043	 γυναῖ	16264
149044	ξατο	16249
149045	νηται	16225
149046	 πόλεως	16190
149047	ψαι	16181
149048	 Περὶ	16162
149049	 δοκεῖ	16123
149050	 Ἕ	16115
149051	 ὀργ	16114
149052	ὴλ	16110
149053	ίον	16091
149054	 πρό	15984
149055	αἰ	15960
149056	 ἁρ	15958
149057	 ἐξε	15955
149058	 ὕδα	15875
149059	ρίῳ	15857
149060	 ἀρχῆς	15857
149061	 ϲ	15831
149062	λέ	15779
149063	 καλῶς	15766
149064	χεσθαι	15732
149065	 ἀλη	15656
149066	 τοι	15652
149067	 ἀλλʼ	15647
149068	 φησι	15625
149069	 σοῦ	15599
149070	 σαρκ	15580
149071	ῶμεν	15568
149072	στασιν	15565
149073	 οὗτοι	15557
149074	 οὓς	15549
149075	 εὖ	15521
149076	άμενος	15516
149077	 εἶτα	15498
149078	κὸς	15491
149079	 ἐγένετο	15486
149080	 εἴτε	15425
149081	 Ἀθηνα	15374
149082	 χρὴ	15371
149083	 τινες	15365
149084	 ἓν	15347
149085	 ἐπιτ	15341
149086	ἕ	15334
149087	ὺν	15332
149088	 ἰσχ	15325
149089	 ὕδωρ	15282
149090	 διὸ	15234
149091	 φῶς	15232
149092	 χρόνον	15215
149093	ῦθεν	970
149094	εἴ	15208
149095	τά	15184
149096	 ἐκτ	15179
149097	ίνεσθαι	15174
149098	τʼ	15172
149099	 ἀλλήλ	15155
149100	Ἦχος	15133
149101	ῦρ	2502
149102	σάμενος	15098
149103	 ἀλ	15098
149104	μάτων	15098
149105	 γέγον	15079
149106	 ἐνα	15040
149107	κοῦν	15014
149108	 καθάπερ	14948
149109	 ὕστερον	14936
149110	μένας	14935
149111	ρή	14903
149112	σεβε	14874
149113	τεῖ	14826
149114	ξῆς	2057
149115	σαντο	14808
149116	νειν	14806
149117	 ἵπ	14798
149118	ψεν	14795
149119	 αὖθις	14748
149120	ίως	14742
149121	 πᾶσι	14723
149122	 εὐθὺς	14704
149123	 ἐκεῖνος	14700
149124	 Οἱ	14628
149125	ὥ	14614
149126	͵	14607
149127	 ἡμέρας	14595
149128	 νοῦν	14585
149129	 ᾖ	14575
149130	δό	14551
149131	 ἐμοῦ	14545
149132	 ἔκ	14532
149133	 πλῆθος	14523
149134	 ἡδον	14522
149135	ἐξ	14518
149136	 ἐξέ	14464
149137	ʹ	14449
149138	 ὄντων	14439
149139	σομαι	14431
149140	τὸς	14403
149141	πάντων	14384
149142	 τοσοῦ	2436
149143	 ὑπάρχ	14373
149144	ἵ	14347
149145	τό	14330
149146	 ἀμφο	14328
149147	 ἀνθρώ	3954
149148	άρχ	2651
149149	θῶν	14252
149150	ντεῦθεν	14244
149151	πὼν	14219
149152	 ἐκείνων	14187
149153	 Ἐν	14184
149154	νῃ	14121
149155	 ἔργον	14110
149156	 αἰσχ	14102
149157	δίαν	14095
149158	 ποιή	14076
149159	δεῖν	14071
149160	 αἵ	14065
149161	 τοιοῦτον	14031
149162	εῖσθαι	14008
149163	 ψυχὴν	13992
149164	 λέγω	13965
149165	 τούτων	13935
149166	 δῆλον	13920
149167	τεῖν	13887
149168	 λοιπὸν	13885
149169	ότερον	13876
149170	 ὁμοίως	13873
149171	 Ἰσρα	13864
149172	 πολλάκις	13830
149173	ἦ	13790
149174	χεν	13787
149175	ρὶς	13761
149176	τηρ	13729
149177	 ἕνε	13729
149178	 ἄλλοις	13708
149179	 πάντα	13686
149180	ξις	13642
149181	 ἕκαστον	13600
149182	 δειν	13599
149183	σωμεν	13589
149184	τητος	13571
149185	 Υἱοῦ	13568
149186	χοῦ	13546
149187	 φρον	13537
149188	 Εἶ	13456
149189	 ποτὲ	13453
149190	 εἴρηται	13448
149191	δῶν	13420
149192	 ταὐ	13420
149193	σαύ	13389
149194	 οἵ	13381
149195	 δυνάμε	13362
149196	εῖται	13362
149197	πται	13341
149198	 δευτ	13339
149199	 δό	13331
149200	 ἀξι	13326
149201	 ἐμφ	13318
149202	 Σωτ	13305
149203	 βίον	13302
149204	 ταῦ	13289
149205	αντες	13266
149206	 εἶπε	13259
149207	 μέγα	13256
149208	 ἐλέ	13251
149209	σὶ	13211
149210	 ταύ	13196
149211	 προφή	13195
149212	κέτι	13195
149213	 ἀνά	13139
149214	 τελευτ	13136
149215	 ὑγ	13121
149216	ειαν	13079
149217	άν	13032
149218	 δόξαν	13031
149219	 Αλλ	13026
149220	 ἄλλως	13010
149221	 ἐπο	13009
149222	 ὅθεν	12993
149223	 ἀριθμ	12988
149224	 ὅλως	12962
149225	 ὀνό	12962
149226	 ἐργ	12937
149227	σῶν	12912
149228	όμενος	12871
149229	 αἰσθη	12863
149230	θην	12822
149231	 βασιλέα	12784
149232	 δοῦ	12769
149233	 ἡμετ	12766
149234	 ἑξῆς	12755
149235	ὕτως	12746
149236	 τούτους	12724
149237	νοίας	12722
149238	ττειν	12699
149239	τί	12691
149240	 ἀργ	12661
149241	 ἀκο	12656
149242	 ἐλά	12643
149243	 πῦρ	12629
149244	 φύσει	12629
149245	ισιν	12606
149246	ῶνα	12580
149247	 τῆ	12579
149248	ησεν	12579
149249	 εἶδος	12569
149250	 εἰσιν	12551
149251	 Χριστὸν	12545
149252	 ἑαυτῷ	12528
149253	μασι	12517
149254	 ἐμοὶ	12497
149255	οὐδὲ	12494
149256	ἅ	12455
149257	 πρᾶ	12450
149258	 ἐπικ	12447
149259	 ἅγιον	12428
149260	 πολεμ	12424
149261	 ὄντος	12415
149262	 πλεῖ	12410
149263	ιστον	12402
149264	 ΑΚΟΥ	106
149265	 ἐπαν	12387
149266	όντων	12370
149267	 ἀλλο	12363
149268	δύ	12318
149269	ῖναι	12309
149270	 ΑΚΟΥΤΕ	12291
149271	 ἰδ	12281
149272	ξῃ	12274
149273	 θεῶν	12259
149274	 ζωῆς	12257
149275	μις	12217
149276	 ταύτῃ	12217
149277	εἶναι	12203
149278	 τροφ	12194
149279	 αὐτό	12191
149280	 οὐδέ	12188
149281	 ἀναι	12187
149282	λείαν	12166
149283	 τυγ	12162
149284	 ὑφ	12141
149285	έρα	12136
149286	θή	12119
149287	 ἀπει	12118
149288	ᾶσθαι	12109
149289	ίζειν	12096
149290	Ἡ	12092
149291	ἤ	12073
149292	ἄν	12054
149293	κά	12048
149294	 δυνά	12037
149295	ῶσι	12024
149296	θοῦ	12008
149297	οὖ	2169
149298	σεβ	11986
149299	 τουτέ	11978
149300	 ἀγά	11969
149301	νοιτο	11955
149302	 τοσοῦτον	11940
149303	αῖς	11931
149304	 ἀγγ	11925
149305	μοῖς	11918
149306	 Διὰ	11909
149307	είᾳ	11900
149308	θεσιν	11882
149309	άτων	11873
149310	 ἀδικ	11862
149311	 πᾶσιν	11830
149312	ούσης	11802
149313	 πλὴν	11801
149314	νεύ	11795
149315	 ὁμολογ	11792
149316	 Ὑ	11767
149317	 ἦλ	11746
149318	 ἐκεῖνο	11738
149319	δαιμον	11724
149320	 ἐπιδ	11721
149321	ῖσι	11710
149322	 οὐχὶ	11706
149323	 μίαν	11650
149324	 Χριστὸς	11649
149325	 ἑαυτῶν	11642
149326	 ἐγγ	11639
149327	 ἐκεῖνον	11626
149328	 ὑπάρχ	11619
149329	 μή	11605
149330	 ἐχθ	11600
149331	 πρὶν	11586
149332	ᾶται	11560
149333	ἀπὸ	11514
149334	ἷ	11503
149335	δοῦ	11495
149336	 γῆ	11485
149337	μασιν	11481
149338	 ἀνθρώ	11477
149339	 Ῥωμαίων	11475
149340	 χαλε	11469
149341	ἐπι	11459
149342	 ἔφ	11446
149343	θεῖσα	11440
149344	 ἐπει	11423
149345	ῆρος	11423
149346	 εἰσι	11420
149347	Ὅ	11417
149348	 ἱκαν	11387
149349	 Ἰωάν	11371
149350	 οὐδεν	11362
149351	 οὐδεὶς	11351
149352	μένου	11334
149353	 ἔτη	11319
149354	 δύνα	11307
149355	 ἡμέραν	11297
149356	ῶνος	11280
149357	ωσιν	11253
149358	πό	11228
149359	 πολλοὺς	11208
149360	ταῦτα	11205
149361	 προση	11195
149362	ίῳ	11189
149363	 ἀνὴρ	11167
149364	 ὅλον	11163
149365	μὸς	11162
149366	μεῖν	11158
149367	 Χριστῷ	11148
149368	στῳ	11131
149369	 ἀλή	11105
149370	 ἔργα	11099
149371	 ἄνδρα	11098
149372	 οἳ	11097
149373	 ἁπλῶς	11095
149374	 ἐμπ	11093
149375	δοὺ	11090
