rank	token_id	decoded	count	mass_pct	basis	popcount
132	1356	'em'	729208	0.0725	bitmask_and_has_de_bit	28
133	3711	' Ver'	712656	0.0709	bitmask_and_has_de_bit	28
134	1335	' S'	705539	0.0701	bitmask_and_has_de_bit	28
135	11134	' dieser'	702125	0.0698	bitmask_and_has_de_bit	28
136	1441	'ere'	694950	0.0691	bitmask_and_has_de_bit	28
137	1282	'le'	692040	0.0688	bitmask_and_has_de_bit	28
138	1373	' M'	683540	0.0680	bitmask_and_has_de_bit	28
139	1407	' D'	680051	0.0676	bitmask_and_has_de_bit	28
140	1814	'ert'	678935	0.0675	bitmask_and_has_de_bit	28
141	1276	'it'	676652	0.0673	bitmask_and_has_de_bit	28
142	1465	'ver'	673609	0.0670	bitmask_and_has_de_bit	28
143	11606	' ihre'	673444	0.0670	bitmask_and_has_de_bit	28
144	1110	'n'	672958	0.0669	bitmask_and_has_de_bit	28
145	11598	'eln'	668501	0.0665	bitmask_and_has_de_bit	28
146	1443	' H'	665294	0.0661	bitmask_and_has_de_bit	28
147	1424	' L'	663863	0.0660	bitmask_and_has_de_bit	28
148	1397	'ter'	652429	0.0649	bitmask_and_has_de_bit	28
149	11834	' dann'	652110	0.0648	bitmask_and_has_de_bit	28
150	9931	' seine'	647729	0.0644	bitmask_and_has_de_bit	28
151	7131	' hatte'	645382	0.0642	bitmask_and_has_de_bit	28
152	1273	're'	631657	0.0628	bitmask_and_has_de_bit	28
153	1353	' T'	628834	0.0625	bitmask_and_has_de_bit	28
154	1884	' du'	624416	0.0621	bitmask_and_has_de_bit	28
155	8973	' vom'	621278	0.0618	bitmask_and_has_de_bit	28
156	16954	' gibt'	619319	0.0616	bitmask_and_has_de_bit	28
157	1285	' w'	618445	0.0615	bitmask_and_has_de_bit	27
158	9242	' Zeit'	611171	0.0608	bitmask_and_has_de_bit	28
159	1671	'ü'	610234	0.0607	bitmask_and_has_de_bit	9
160	2793	'gen'	608705	0.0605	bitmask_and_has_de_bit	28
161	9565	'Der'	607008	0.0604	bitmask_and_has_de_bit	28
162	3752	'zen'	598870	0.0595	bitmask_and_has_de_bit	28
163	7524	' Aus'	589287	0.0586	bitmask_and_has_de_bit	28
164	3070	'fe'	582588	0.0579	bitmask_and_has_de_bit	28
165	16882	' sehr'	570638	0.0567	bitmask_and_has_de_bit	28
166	18828	' Menschen'	566536	0.0563	bitmask_and_has_de_bit	28
167	14817	' immer'	566510	0.0563	bitmask_and_has_de_bit	28
168	1108	'l'	566046	0.0563	bitmask_and_has_de_bit	28
169	15075	' keine'	563368	0.0560	bitmask_and_has_de_bit	28
170	2509	'ene'	561546	0.0558	bitmask_and_has_de_bit	28
171	8173	'ellen'	560680	0.0557	bitmask_and_has_de_bit	28
172	1757	' St'	551426	0.0548	bitmask_and_has_de_bit	28
173	9638	' gegen'	550827	0.0548	bitmask_and_has_de_bit	28
174	7287	' wurden'	549512	0.0546	bitmask_and_has_de_bit	27
175	5974	' alle'	548572	0.0545	bitmask_and_has_de_bit	28
176	2969	'ste'	546174	0.0543	bitmask_and_has_de_bit	28
177	3079	' Ab'	544454	0.0541	bitmask_and_has_de_bit	28
178	1428	'ers'	542024	0.0539	bitmask_and_has_de_bit	28
179	1436	' E'	536981	0.0534	bitmask_and_has_de_bit	28
180	1720	'ier'	536914	0.0534	bitmask_and_has_de_bit	28
181	10432	'heit'	535167	0.0532	bitmask_and_has_de_bit	28
182	3569	'ken'	535067	0.0532	bitmask_and_has_de_bit	28
183	1461	' G'	533848	0.0531	bitmask_and_has_de_bit	28
184	16881	' habe'	528788	0.0526	bitmask_and_has_de_bit	28
185	9362	' wieder'	527369	0.0524	bitmask_and_has_de_bit	27
186	1434	' R'	521719	0.0519	bitmask_and_has_de_bit	28
187	3554	'ben'	520367	0.0517	bitmask_and_has_de_bit	28
188	1643	'ge'	517698	0.0515	bitmask_and_has_de_bit	28
189	8012	' ihr'	515148	0.0512	bitmask_and_has_de_bit	28
190	14247	' anderen'	510694	0.0508	bitmask_and_has_de_bit	28
191	11367	' Vor'	510582	0.0508	bitmask_and_has_de_bit	28
192	5929	'sten'	507330	0.0504	bitmask_and_has_de_bit	28
193	1341	'ut'	504658	0.0502	bitmask_and_has_de_bit	28
194	1275	'is'	504259	0.0501	bitmask_and_has_de_bit	28
195	1100	'd'	504004	0.0501	bitmask_and_has_de_bit	28
196	15547	'igkeit'	503747	0.0501	bitmask_and_has_de_bit	28
197	2170	' da'	502698	0.0500	bitmask_and_has_de_bit	28
198	1374	'us'	492863	0.0490	bitmask_and_has_de_bit	28
199	2799	'icht'	492205	0.0489	bitmask_and_has_de_bit	28
200	1403	'um'	490309	0.0487	bitmask_and_has_de_bit	28
