rank	token_id	decoded	count_de	count_en	popcount
149	56346	'hätten'	74044	5	6
150	24497	'ätz'	73806	505	6
151	7088	'ühr'	73429	545	9
152	27423	'ließ'	72767	6	1
153	59363	'ätzen'	72739	36	6
154	76028	'gefähr'	72163	16	6
155	62684	'ähn'	72078	6	6
156	35364	'außer'	71653	26	1
157	30776	'ören'	71373	1054	9
158	26628	'häng'	70212	31	6
159	28080	'führte'	70168	1	9
160	50605	'früh'	69977	60	9
161	80782	'maß'	69916	28	1
162	65452	'benöt'	69660	0	9
163	42759	'Übers'	69659	93	9
164	58034	'üsse'	69338	86	9
165	26217	'Bürger'	69188	334	9
166	87892	'itäts'	68907	471	6
167	33035	'äst'	68609	1829	6
168	88217	'ermöglicht'	68606	1	9
169	44218	'Außerdem'	68150	2	1
170	60241	'erhält'	68137	4	6
171	38676	'Bevölkerung'	68035	16	9
172	53167	'ösen'	67823	82	9
173	99750	'üllen'	67394	86	9
174	22018	'Fuß'	67355	92	1
175	68755	'Geschäfts'	67293	32	6
176	12972	'äter'	67118	252	6
177	76975	'-jähr'	67111	18	6
178	92233	'Lösung'	67094	30	9
179	114507	'örungen'	67014	20	9
180	23846	'ünst'	66873	46	9
181	41253	'Präsident'	66451	31	6
182	62467	'vollständig'	65888	12	6
183	69623	'Größe'	65497	12	1
184	65903	'Ländern'	65341	23	6
185	30065	'Gründ'	65225	197	9
186	67256	'Glück'	64777	783	9
187	103127	'Möglichkeiten'	64590	19	9
188	78824	'Gefühl'	64421	21	9
189	45530	'überw'	64075	7	9
190	85269	'Maßnahmen'	64065	1	1
191	58716	'ängen'	63440	163	6
192	54401	'ließen'	63345	3	1
193	71479	'muß'	63325	57	1
194	21365	'änger'	63069	652	6
195	63407	'völlig'	62712	9	9
196	62173	'verfüg'	62262	4	9
197	72173	'stände'	62208	56	6
198	27277	'Straße'	62169	1229	1
199	82309	'äte'	61931	183	6
200	74491	'länger'	61833	10	6
