rank	token_id	decoded	count	mass_pct	basis	popcount
69	128526	' weiße'	20274	0.0020	bitmask_and_only_de	1
70	44285	'äßig'	19413	0.0019	bitmask_and_only_de	1
71	91710	' ließen'	18308	0.0018	bitmask_and_only_de	1
72	119022	' draußen'	18081	0.0018	bitmask_and_only_de	1
73	106369	' Großteil'	17644	0.0018	bitmask_and_only_de	1
74	123600	' schließt'	17424	0.0017	bitmask_and_only_de	1
75	36074	'schließ'	17262	0.0017	bitmask_and_only_de	1
76	78294	' Großen'	17221	0.0017	bitmask_and_only_de	1
77	119415	' Anschließend'	17114	0.0017	bitmask_and_only_de	1
78	93433	' saß'	16863	0.0017	bitmask_and_only_de	1
79	83583	'iße'	16429	0.0016	bitmask_and_only_de	1
80	44903	'ißt'	14646	0.0015	bitmask_and_only_de	1
81	126316	' vergröß'	14629	0.0015	bitmask_and_only_de	1
82	85291	' verließ'	14428	0.0014	bitmask_and_only_de	1
83	129954	' bloß'	14317	0.0014	bitmask_and_only_de	1
84	94998	' Große'	14057	0.0014	bitmask_and_only_de	1
85	87563	'ließt'	12803	0.0013	bitmask_and_only_de	1
86	102852	' Straß'	12338	0.0012	bitmask_and_only_de	1
87	114581	' anschließ'	11917	0.0012	bitmask_and_only_de	1
88	49406	'schließend'	10636	0.0011	bitmask_and_only_de	1
89	98192	' stieß'	10020	0.0010	bitmask_and_only_de	1
90	20509	'ließlich'	9731	0.0010	bitmask_and_only_de	1
91	44960	'ußen'	9594	0.0010	bitmask_and_only_de	1
92	91587	' besaß'	8719	0.0009	bitmask_and_only_de	1
93	46444	'chließlich'	8336	0.0008	bitmask_and_only_de	1
94	116331	'ißig'	8033	0.0008	bitmask_and_only_de	1
95	87812	'-Straße'	7425	0.0007	bitmask_and_only_de	1
96	70537	' Preußen'	7303	0.0007	bitmask_and_only_de	1
97	117832	' preußischen'	4548	0.0005	bitmask_and_only_de	1
98	114653	' Straßenbahn'	4456	0.0004	bitmask_and_only_de	1
99	66641	' Großb'	4103	0.0004	bitmask_and_only_de	1
100	66733	' preuß'	3652	0.0004	bitmask_and_only_de	1
101	107645	' Großherzog'	2155	0.0002	bitmask_and_only_de	1
102	38730	' Fußballspieler'	1720	0.0002	bitmask_and_only_de	1
103	28803	'ßerdem'	287	0.0000	bitmask_and_only_de	1
