Processed 1910000 documents (6209.79 docs/s, 27.94 MB/s)
Processed 1920000 documents (6211.11 docs/s, 27.94 MB/s)
Processed 1930000 documents (6211.99 docs/s, 27.94 MB/s)
Processed 1940000 documents (6215.05 docs/s, 27.95 MB/s)
Processed 1950000 documents (6214.92 docs/s, 27.95 MB/s)
Processed 1960000 documents (6187.40 docs/s, 27.82 MB/s)
Processed 1970000 documents (6171.77 docs/s, 27.76 MB/s)
Processed 1980000 documents (6180.94 docs/s, 27.79 MB/s)
Processed 1990000 documents (6159.74 docs/s, 27.70 MB/s)
Processed 2000000 documents (6178.31 docs/s, 27.78 MB/s)
Processed 2010000 documents (6186.36 docs/s, 27.81 MB/s)
Processed 2020000 documents (6159.23 docs/s, 27.69 MB/s)
Processed 2030000 documents (6177.17 docs/s, 27.77 MB/s)
Processed 2040000 documents (6187.96 docs/s, 27.82 MB/s)
Processed 2050000 documents (6183.12 docs/s, 27.80 MB/s)
Processed 2060000 documents (6185.69 docs/s, 27.81 MB/s)
Processed 2070000 documents (6185.59 docs/s, 27.81 MB/s)
Processed 2080000 documents (6185.43 docs/s, 27.82 MB/s)
Processed 2090000 documents (6183.54 docs/s, 27.81 MB/s)
Processed 2100000 documents (6182.71 docs/s, 27.81 MB/s)
Processed 2110000 documents (6182.42 docs/s, 27.81 MB/s)
Processed 2120000 documents (6189.57 docs/s, 27.84 MB/s)
Processed 2130000 documents (6170.02 docs/s, 27.75 MB/s)
Processed 2140000 documents (6187.12 docs/s, 27.82 MB/s)
Processed 2150000 documents (6184.24 docs/s, 27.81 MB/s)
Processed 2160000 documents (6173.14 docs/s, 27.76 MB/s)
Processed 2170000 documents (6189.68 docs/s, 27.83 MB/s)
Processed 2180000 documents (6189.96 docs/s, 27.82 MB/s)
Processed 2190000 documents (6190.83 docs/s, 27.82 MB/s)
Processed 2200000 documents (6190.24 docs/s, 27.82 MB/s)
Processed 2210000 documents (6190.38 docs/s, 27.82 MB/s)
Processed 2220000 documents (6185.95 docs/s, 27.79 MB/s)
Processed 2230000 documents (6185.28 docs/s, 27.79 MB/s)
Processed 2240000 documents (6189.98 docs/s, 27.82 MB/s)
Processed 2250000 documents (6195.03 docs/s, 27.83 MB/s)
Processed 2260000 documents (6190.75 docs/s, 27.82 MB/s)
Processed 2270000 documents (6165.44 docs/s, 27.71 MB/s)
Processed 2280000 documents (6182.08 docs/s, 27.77 MB/s)
Processed 2290000 documents (6182.04 docs/s, 27.78 MB/s)
Processed 2300000 documents (6144.40 docs/s, 27.61 MB/s)
Processed 2310000 documents (6160.52 docs/s, 27.67 MB/s)
Processed 2320000 documents (6176.97 docs/s, 27.74 MB/s)
Processed 2330000 documents (6193.24 docs/s, 27.82 MB/s)
Processed 2340000 documents (6192.41 docs/s, 27.81 MB/s)
Processed 2350000 documents (6194.82 docs/s, 27.82 MB/s)
Processed 2360000 documents (6189.77 docs/s, 27.80 MB/s)
Processed 2370000 documents (6169.92 docs/s, 27.71 MB/s)
Processed 2380000 documents (6185.69 docs/s, 27.78 MB/s)
Processed 2390000 documents (6197.77 docs/s, 27.83 MB/s)
Processed 2400000 documents (6196.48 docs/s, 27.82 MB/s)
Processed 2410000 documents (6192.69 docs/s, 27.80 MB/s)
Processed 2420000 documents (6197.55 docs/s, 27.82 MB/s)
Processed 2430000 documents (6194.88 docs/s, 27.81 MB/s)
Processed 2440000 documents (6182.57 docs/s, 27.75 MB/s)
Processed 2450000 documents (6196.65 docs/s, 27.81 MB/s)
Processed 2460000 documents (6186.94 docs/s, 27.77 MB/s)
Processed 2470000 documents (6195.52 docs/s, 27.80 MB/s)
Processed 2480000 documents (6187.07 docs/s, 27.79 MB/s)
Processed 2490000 documents (6168.98 docs/s, 27.73 MB/s)
Processed 2500000 documents (6158.35 docs/s, 27.71 MB/s)
Processed 2510000 documents (6151.60 docs/s, 27.70 MB/s)
Processed 2520000 documents (6146.98 docs/s, 27.70 MB/s)
Processed 2530000 documents (6005.93 docs/s, 27.09 MB/s)
Processed 2540000 documents (6020.05 docs/s, 27.16 MB/s)
Processed 2550000 documents (6034.68 docs/s, 27.23 MB/s)
Processed 2560000 documents (6049.72 docs/s, 27.29 MB/s)
Processed 2570000 documents (6064.53 docs/s, 27.36 MB/s)
Processed 2580000 documents (6078.41 docs/s, 27.43 MB/s)
Processed 2590000 documents (6092.72 docs/s, 27.49 MB/s)
Processed 2600000 documents (6107.07 docs/s, 27.56 MB/s)
Processed 2610000 documents (6121.81 docs/s, 27.61 MB/s)
Processed 2620000 documents (6117.04 docs/s, 27.59 MB/s)
Processed 2630000 documents (6120.27 docs/s, 27.61 MB/s)
Processed 2640000 documents (6116.47 docs/s, 27.59 MB/s)
Processed 2650000 documents (6115.30 docs/s, 27.58 MB/s)
Processed 2660000 documents (6119.17 docs/s, 27.60 MB/s)
Processed 2670000 documents (6116.23 docs/s, 27.58 MB/s)
Processed 2680000 documents (6121.90 docs/s, 27.60 MB/s)
Processed 2690000 documents (6121.59 docs/s, 27.60 MB/s)
Processed 2700000 documents (6123.35 docs/s, 27.61 MB/s)
Processed 2710000 documents (6116.73 docs/s, 27.58 MB/s)
Processed 2720000 documents (6121.24 docs/s, 27.60 MB/s)
Processed 2730000 documents (6118.24 docs/s, 27.58 MB/s)
Processed 2740000 documents (6117.57 docs/s, 27.57 MB/s)
Processed 2750000 documents (6119.83 docs/s, 27.58 MB/s)
Processed 2760000 documents (6117.00 docs/s, 27.56 MB/s)
Processed 2770000 documents (6119.49 docs/s, 27.57 MB/s)
Processed 2780000 documents (6121.22 docs/s, 27.58 MB/s)
Processed 2790000 documents (6113.94 docs/s, 27.54 MB/s)
Processed 2800000 documents (6127.26 docs/s, 27.60 MB/s)
Processed 2810000 documents (6113.68 docs/s, 27.54 MB/s)
Processed 2820000 documents (6127.21 docs/s, 27.59 MB/s)
Processed 2830000 documents (6127.53 docs/s, 27.59 MB/s)
Processed 2840000 documents (6124.21 docs/s, 27.58 MB/s)
Processed 2850000 documents (6126.88 docs/s, 27.59 MB/s)
Processed 2860000 documents (6128.62 docs/s, 27.59 MB/s)
Processed 2870000 documents (6120.74 docs/s, 27.56 MB/s)
Processed 2880000 documents (6130.00 docs/s, 27.59 MB/s)
Processed 2890000 documents (6122.73 docs/s, 27.56 MB/s)
Processed 2900000 documents (6120.70 docs/s, 27.55 MB/s)
Processed 2910000 documents (6128.27 docs/s, 27.58 MB/s)
Processed 2920000 documents (6096.19 docs/s, 27.45 MB/s)
Processed 2930000 documents (6108.71 docs/s, 27.50 MB/s)
Processed 2940000 documents (6121.58 docs/s, 27.56 MB/s)
Processed 2950000 documents (6130.53 docs/s, 27.60 MB/s)
Processed 2960000 documents (6093.44 docs/s, 27.44 MB/s)
Processed 2970000 documents (6106.41 docs/s, 27.49 MB/s)
Processed 2980000 documents (6119.51 docs/s, 27.55 MB/s)
Processed 2990000 documents (6132.30 docs/s, 27.60 MB/s)
Processed 3000000 documents (6132.07 docs/s, 27.60 MB/s)
Processed 3010000 documents (6128.55 docs/s, 27.58 MB/s)
Processed 3020000 documents (6131.87 docs/s, 27.59 MB/s)
Processed 3030000 documents (6133.91 docs/s, 27.59 MB/s)
Processed 3040000 documents (6133.48 docs/s, 27.59 MB/s)
Processed 3050000 documents (6132.96 docs/s, 27.59 MB/s)
Processed 3060000 documents (6132.45 docs/s, 27.59 MB/s)
Processed 3070000 documents (6122.34 docs/s, 27.54 MB/s)
Processed 3080000 documents (6133.01 docs/s, 27.59 MB/s)
Processed 3090000 documents (6133.15 docs/s, 27.59 MB/s)
Processed 3100000 documents (6133.10 docs/s, 27.58 MB/s)
Processed 3110000 documents (6101.48 docs/s, 27.44 MB/s)
Processed 3120000 documents (6113.56 docs/s, 27.49 MB/s)
Processed 3130000 documents (6125.66 docs/s, 27.55 MB/s)
Processed 3140000 documents (6137.86 docs/s, 27.60 MB/s)
Processed 3150000 documents (6126.27 docs/s, 27.55 MB/s)
Processed 3160000 documents (6137.11 docs/s, 27.60 MB/s)
Processed 3170000 documents (6136.28 docs/s, 27.59 MB/s)
Processed 3180000 documents (6136.06 docs/s, 27.59 MB/s)
Processed 3190000 documents (6135.18 docs/s, 27.59 MB/s)
Processed 3200000 documents (6127.53 docs/s, 27.56 MB/s)
Processed 3210000 documents (6122.77 docs/s, 27.54 MB/s)
Processed 3220000 documents (6134.17 docs/s, 27.58 MB/s)
Processed 3230000 documents (6133.65 docs/s, 27.58 MB/s)
Processed 3240000 documents (6129.52 docs/s, 27.56 MB/s)
Processed 3250000 documents (6129.15 docs/s, 27.56 MB/s)
Processed 3260000 documents (6134.57 docs/s, 27.58 MB/s)
Processed 3270000 documents (6128.08 docs/s, 27.56 MB/s)
Processed 3280000 documents (6129.16 docs/s, 27.56 MB/s)
Processed 3290000 documents (6125.83 docs/s, 27.55 MB/s)
Processed 3300000 documents (6099.51 docs/s, 27.45 MB/s)
Processed 3310000 documents (6108.36 docs/s, 27.50 MB/s)
Processed 3320000 documents (6093.38 docs/s, 27.45 MB/s)
Processed 3330000 documents (6091.06 docs/s, 27.45 MB/s)
Processed 3340000 documents (6082.44 docs/s, 27.43 MB/s)
Processed 3350000 documents (6091.43 docs/s, 27.47 MB/s)
Processed 3360000 documents (6083.47 docs/s, 27.44 MB/s)
Processed 3370000 documents (6092.99 docs/s, 27.48 MB/s)
Processed 3380000 documents (6095.25 docs/s, 27.49 MB/s)
Processed 3390000 documents (6093.51 docs/s, 27.49 MB/s)
Processed 3400000 documents (6094.94 docs/s, 27.49 MB/s)
Processed 3410000 documents (6090.72 docs/s, 27.47 MB/s)
Processed 3420000 documents (6094.60 docs/s, 27.49 MB/s)
Processed 3430000 documents (6097.52 docs/s, 27.50 MB/s)
Processed 3440000 documents (6093.32 docs/s, 27.48 MB/s)
Processed 3450000 documents (6093.71 docs/s, 27.49 MB/s)
Processed 3460000 documents (6089.70 docs/s, 27.47 MB/s)
Processed 3470000 documents (6087.77 docs/s, 27.46 MB/s)
Processed 3480000 documents (6090.51 docs/s, 27.48 MB/s)
Processed 3490000 documents (6092.83 docs/s, 27.48 MB/s)
Processed 3500000 documents (6090.59 docs/s, 27.47 MB/s)
Processed 3510000 documents (6091.33 docs/s, 27.47 MB/s)
Processed 3520000 documents (6087.49 docs/s, 27.45 MB/s)
Processed 3530000 documents (6089.59 docs/s, 27.46 MB/s)
Processed 3540000 documents (6085.65 docs/s, 27.44 MB/s)
Processed 3550000 documents (6084.34 docs/s, 27.43 MB/s)
Processed 3560000 documents (6094.55 docs/s, 27.48 MB/s)
Processed 3570000 documents (6087.81 docs/s, 27.44 MB/s)
Processed 3580000 documents (6090.99 docs/s, 27.46 MB/s)
Processed 3590000 documents (6090.26 docs/s, 27.45 MB/s)
Processed 3600000 documents (6092.62 docs/s, 27.46 MB/s)
Processed 3610000 documents (6088.83 docs/s, 27.44 MB/s)
Processed 3620000 documents (6073.19 docs/s, 27.37 MB/s)
Processed 3630000 documents (6082.87 docs/s, 27.41 MB/s)
Processed 3640000 documents (6093.15 docs/s, 27.46 MB/s)
Processed 3650000 documents (6098.13 docs/s, 27.48 MB/s)
Processed 3660000 documents (6096.25 docs/s, 27.47 MB/s)
Processed 3670000 documents (6096.43 docs/s, 27.47 MB/s)
Processed 3680000 documents (6089.37 docs/s, 27.43 MB/s)
Processed 3690000 documents (6099.31 docs/s, 27.48 MB/s)
Processed 3700000 documents (6089.36 docs/s, 27.43 MB/s)
Processed 3710000 documents (6099.02 docs/s, 27.48 MB/s)
Processed 3720000 documents (6100.24 docs/s, 27.48 MB/s)
Processed 3730000 documents (6093.78 docs/s, 27.45 MB/s)
Processed 3740000 documents (6093.99 docs/s, 27.45 MB/s)
Processed 3750000 documents (6086.28 docs/s, 27.42 MB/s)
Processed 3760000 documents (6095.83 docs/s, 27.46 MB/s)
Processed 3770000 documents (6095.32 docs/s, 27.46 MB/s)
Processed 3780000 documents (6061.27 docs/s, 27.31 MB/s)
Processed 3790000 documents (6071.25 docs/s, 27.35 MB/s)
Processed 3800000 documents (6081.31 docs/s, 27.39 MB/s)
Processed 3810000 documents (6091.58 docs/s, 27.44 MB/s)
Processed 3820000 documents (6076.86 docs/s, 27.37 MB/s)
Processed 3830000 documents (6086.97 docs/s, 27.41 MB/s)
Processed 3840000 documents (6097.17 docs/s, 27.45 MB/s)
Processed 3850000 documents (6102.56 docs/s, 27.47 MB/s)
Processed 3860000 documents (6101.36 docs/s, 27.47 MB/s)
Processed 3870000 documents (6085.61 docs/s, 27.40 MB/s)
Processed 3880000 documents (6095.29 docs/s, 27.44 MB/s)
Processed 3890000 documents (6104.56 docs/s, 27.48 MB/s)
Processed 3900000 documents (6101.19 docs/s, 27.46 MB/s)
Processed 3910000 documents (6095.81 docs/s, 27.44 MB/s)
Processed 3920000 documents (6093.64 docs/s, 27.43 MB/s)
Processed 3930000 documents (6096.66 docs/s, 27.44 MB/s)
Processed 3940000 documents (6098.11 docs/s, 27.45 MB/s)
Processed 3950000 documents (6095.11 docs/s, 27.44 MB/s)
Processed 3960000 documents (6097.85 docs/s, 27.44 MB/s)
Processed 3970000 documents (6098.97 docs/s, 27.45 MB/s)
Processed 3980000 documents (6102.17 docs/s, 27.46 MB/s)
Processed 3990000 documents (6091.11 docs/s, 27.41 MB/s)
Processed 4000000 documents (6100.53 docs/s, 27.46 MB/s)
Processed 4010000 documents (6102.50 docs/s, 27.46 MB/s)
Processed 4020000 documents (6099.17 docs/s, 27.45 MB/s)
Processed 4030000 documents (6098.69 docs/s, 27.45 MB/s)
Processed 4040000 documents (6097.30 docs/s, 27.44 MB/s)
Processed 4050000 documents (6101.66 docs/s, 27.46 MB/s)
Processed 4060000 documents (6101.78 docs/s, 27.46 MB/s)
Processed 4070000 documents (6096.87 docs/s, 27.43 MB/s)
Processed 4080000 documents (6100.91 docs/s, 27.45 MB/s)
Processed 4090000 documents (6096.45 docs/s, 27.42 MB/s)
Processed 4100000 documents (6095.12 docs/s, 27.42 MB/s)
Processed 4110000 documents (6076.38 docs/s, 27.33 MB/s)
Processed 4120000 documents (6083.03 docs/s, 27.38 MB/s)
Processed 4130000 documents (6071.71 docs/s, 27.34 MB/s)
Processed 4140000 documents (6018.67 docs/s, 27.12 MB/s)
Processed 4150000 documents (6026.09 docs/s, 27.16 MB/s)
Processed 4160000 documents (6033.84 docs/s, 27.21 MB/s)
Processed 4170000 documents (6041.92 docs/s, 27.25 MB/s)
Processed 4180000 documents (6050.44 docs/s, 27.29 MB/s)
Processed 4190000 documents (6059.18 docs/s, 27.33 MB/s)
Processed 4200000 documents (6067.65 docs/s, 27.37 MB/s)
Processed 4210000 documents (6069.42 docs/s, 27.38 MB/s)
Processed 4220000 documents (6063.92 docs/s, 27.36 MB/s)
Processed 4230000 documents (6063.19 docs/s, 27.35 MB/s)
Processed 4240000 documents (6061.81 docs/s, 27.34 MB/s)
Processed 4250000 documents (6063.05 docs/s, 27.35 MB/s)
Processed 4260000 documents (6064.03 docs/s, 27.35 MB/s)
Processed 4270000 documents (6063.58 docs/s, 27.35 MB/s)
Processed 4280000 documents (6064.97 docs/s, 27.35 MB/s)
Processed 4290000 documents (6058.47 docs/s, 27.32 MB/s)
Processed 4300000 documents (6065.88 docs/s, 27.35 MB/s)
Processed 4310000 documents (6067.19 docs/s, 27.36 MB/s)
Processed 4320000 documents (6065.19 docs/s, 27.35 MB/s)
Processed 4330000 documents (6065.11 docs/s, 27.35 MB/s)
Processed 4340000 documents (6065.79 docs/s, 27.35 MB/s)
Processed 4350000 documents (6067.64 docs/s, 27.35 MB/s)
Processed 4360000 documents (6066.24 docs/s, 27.35 MB/s)
Processed 4370000 documents (6062.88 docs/s, 27.33 MB/s)
Processed 4380000 documents (6066.43 docs/s, 27.35 MB/s)
Processed 4390000 documents (6067.99 docs/s, 27.35 MB/s)
Processed 4400000 documents (6060.45 docs/s, 27.32 MB/s)
